Temperature,Density,Viscosity,VaporPressure,DynamicViscosity
K,g/cm^3,mm^2/s,kPa,Pa*s
-60,0.75019,1.937642464,,0.0014536
-50,0.74191,1.570136539,,0.0011649
-40,0.73366,1.307472126,,0.00095924
-30,0.72543,1.111933612,,0.00080663
-20,0.71718,0.961571711,0.39,0.00068962
-10,0.70892,0.842859561,0.644,0.00059752
0,0.70062,0.747109703,1.25,0.00052344
10,0.69226,0.668491607,2.293,0.00046277
20,0.68385,0.602895372,4,0.00041229
30,0.67534,0.547457577,6.67,0.00036972
40,0.66674,0.500044995,10.7,0.0003334
50,0.65803,0.459082413,16.56,0.00030209
60,0.64918,0.423349456,24.83,0.00027483
70,,,36.18,
80,,,51.37,
90,,,71.28,
100,,,96.84,
110,,,129.1,
120,,,169.2,
